accuracy,precision,recall,f1,auc,experiment,train_time_sec,predict_time_sec,n_train,n_test,human_accuracy,human_precision,human_recall,human_f1,human_auc,llm_accuracy,llm_precision,llm_recall,llm_f1,llm_auc
0.757436112274822,0.7356426618049225,0.7363138686131386,0.7359781121751026,0.8663727546687623,Agentic_MajorityVote_Baseline,0.0273,0.0024,9545,2387,,,,,,,,,,
0.7712609970674487,0.7425044091710759,0.7682481751824818,0.7551569506726458,0.8852524071760135,Agentic_RiskArbitration_X,0.5226,0.0084,9545,2387,,,,,,,,,,
0.7712609970674487,0.7105666156202144,0.8467153284671532,0.7726894254787677,0.8852117692955725,Agentic_QuantumArbitration_X,0.2043,0.0456,9545,2387,,,,,,,,,,
0.9916492693110648,0.9924242424242424,0.9776119402985076,0.9849624060150376,0.9998918451222152,EMAIL_TFIDF_SVM_Baseline,0.8664,0.2649,1912,479,0.9830508474576272,0.9902912621359224,0.9714285714285714,0.9807692307692308,0.999636495819702,1.0,1.0,1.0,1.0,1.0
0.9937369519832986,0.9924812030075189,0.9850746268656716,0.9887640449438202,0.99956738048886,EMAIL_SemanticCompressed_Agent,4.5366,0.3419,1912,479,0.9915254237288136,0.9904761904761904,0.9904761904761904,0.9904761904761904,0.9991275899672848,0.9958847736625516,1.0,0.9655172413793104,0.9824561403508772,1.0
0.6012526096033403,0.3507853403141361,0.5,0.4123076923076923,0.6061648280337444,EMAIL_QuantumText_Agent,4.1702,0.323,1912,479,0.6101694915254238,0.5670103092783505,0.5238095238095238,0.5445544554455446,0.6413667757179207,0.5925925925925926,0.1276595744680851,0.4137931034482758,0.1951219512195122,0.542700612310667
0.9958246346555324,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.999718797317759,EMAIL_NoQuantum_TextOnly,4.087,0.3241,1912,479,0.9915254237288136,0.9904761904761904,0.9904761904761904,0.9904761904761904,0.999418393311523,1.0,1.0,1.0,1.0,1.0
0.9995,0.9995,0.9995,0.9995,0.999999,QR_ResNet18_Agent,19408.9229,40.8774,16000,4000,,,,,,,,,,
0.985,0.9825870646766168,0.9875,0.9850374064837906,0.999027,QR_Handcrafted_RF,1.5884,0.214,16000,4000,,,,,,,,,,
0.547,0.5486039296794208,0.5305,0.5394001016776817,0.57380375,QR_Handcrafted_Quantum,0.2401,0.0835,16000,4000,,,,,,,,,,
0.985,0.9825870646766168,0.9875,0.9850374064837906,0.999027,QR_Handcrafted_RF,1.5884,0.214,16000,4000,,,,,,,,,,
0.547,0.5486039296794208,0.5305,0.5394001016776817,0.57380375,QR_Handcrafted_Quantum,0.2401,0.0835,16000,4000,,,,,,,,,,
0.9845758354755784,0.9789473684210528,0.93,0.953846153846154,0.9924922440537745,SMS_TFIDF_SVM_Baseline,0.109,0.0307,4664,1167,,,,,,,,,,
0.9734361610968296,0.9774011299435028,0.865,0.9177718832891246,0.9883453981385728,SMS_SemanticCompressed_Agent,2.7277,0.0854,4664,1167,,,,,,,,,,
0.6298200514138818,0.2238095238095238,0.47,0.3032258064516129,0.5822595656670114,SMS_QuantumText_Agent,2.5595,0.0954,4664,1167,,,,,,,,,,
0.9768637532133676,0.9219512195121952,0.945,0.9333333333333332,0.990651499482937,SMS_NoQuantum_TextOnly,2.3672,0.0734,4664,1167,,,,,,,,,,
0.9619422572178478,0.9575389948006932,0.9667541557305336,0.9621245102307358,0.993641925555456,URL_RF_Baseline,0.6416,0.1341,9144,2286,,,,,,,,,,
0.963254593175853,0.961639058413252,0.9650043744531932,0.9633187772925764,0.9927348867043412,URL_ExtraTrees_Strong,0.763,0.2274,9144,2286,,,,,,,,,,
0.9619422572178478,0.9623467600700524,0.9615048118985128,0.9619256017505472,0.9931007639793058,URL_GraphTrust_Agent,1.0535,0.2879,9144,2286,,,,,,,,,,
0.6933508311461067,0.7386609071274298,0.5984251968503937,0.6611889801836636,0.811182066808578,URL_QuantumGraph_Agent,1.4249,0.2821,9144,2286,,,,,,,,,,
0.9619422572178478,0.9623467600700524,0.9615048118985128,0.9619256017505472,0.9931007639793058,URL_NoQuantum_GraphOnly,1.1175,0.2827,9144,2286,,,,,,,,,,
0.9015748031496064,0.872564935064935,0.9405074365704288,0.9052631578947368,0.9675398733513516,URL_NoGraph_QuantumOnly,1.5827,0.3189,9144,2286,,,,,,,,,,
