experiment,n_test,accuracy,precision,recall,specificity,f1,auc,pr_auc,brier,fpr,fnr,tp,tn,fp,fn,train_time_sec,predict_time_sec,section,model
URL_ExtraTrees_Strong,2286,0.963254593175853,0.9616390584132519,0.9650043744531933,0.9615048118985127,0.9633187772925764,0.9927348867043413,0.9929126608017552,0.03224339100469584,0.03849518810148731,0.03499562554680665,1103,1099,44,40,0.763,0.2274,(a) Strong Deployable Modality Specialists,URL-ET
SMS_TFIDF_SVM_Baseline,1167,0.9845758354755784,0.9789473684210527,0.93,0.9958634953464323,0.9538461538461539,0.9924922440537745,0.9858269341516543,0.012525608989509836,0.004136504653567736,0.07,186,963,4,14,0.109,0.0307,(a) Strong Deployable Modality Specialists,SMS-SVM
EMAIL_NoQuantum_TextOnly,479,0.9958246346555324,0.9925373134328358,0.9925373134328358,0.9971014492753624,0.9925373134328358,0.999718797317759,0.9993400345212712,0.0043542469989312675,0.002898550724637681,0.007462686567164179,133,344,1,1,4.087,0.3241,(a) Strong Deployable Modality Specialists,E-T
QR_ResNet18_Agent,4000,0.9995,0.9995,0.9995,0.9995,0.9995,0.999999,0.999999000374438,0.0004003692285998112,0.0005,0.0005,1999,1999,1,1,19408.9229,40.8774,(a) Strong Deployable Modality Specialists,QR-R18
Agentic_MajorityVote_Baseline,2387,0.757436112274822,0.7356426618049225,0.7363138686131386,0.7753679318357862,0.7359781121751026,0.8663727546687623,0.8653728654457444,0.143888360739596,0.2246320681642138,0.2636861313868613,807,1001,290,289,0.0273,0.0024,(b) Agentic Arbitration,Majority
Agentic_RiskArbitration_X,2387,0.7712609970674487,0.7425044091710759,0.7682481751824818,0.7738187451587917,0.7551569506726458,0.8852524071760135,0.8799164745844368,0.13295367692596405,0.22618125484120838,0.23175182481751824,842,999,292,254,0.5226,0.0084,(b) Agentic Arbitration,Risk-X
Agentic_QuantumArbitration_X,2387,0.7712609970674487,0.7105666156202144,0.8467153284671532,0.7072037180480247,0.7726894254787677,0.8852117692955725,0.8811496289402425,0.13378870979559024,0.2927962819519752,0.15328467153284672,928,913,378,168,0.2043,0.0456,(b) Agentic Arbitration,QArb-X
URL_NoGraph_QuantumOnly,2286,0.9015748031496063,0.872564935064935,0.9405074365704287,0.8626421697287839,0.9052631578947369,0.9675398733513516,0.9695094062502194,0.11369722713232276,0.1373578302712161,0.0594925634295713,1075,986,157,68,1.5827,0.3189,(c) Quantum and Graph Ablation,URL-Q
URL_NoQuantum_GraphOnly,2286,0.9619422572178478,0.9623467600700525,0.9615048118985127,0.9623797025371829,0.9619256017505471,0.9931007639793058,0.993196896038848,0.032270548324316604,0.03762029746281715,0.03849518810148731,1099,1100,43,44,1.1175,0.2827,(c) Quantum and Graph Ablation,URL-G
URL_QuantumGraph_Agent,2286,0.6933508311461067,0.7386609071274298,0.5984251968503937,0.7882764654418197,0.6611889801836636,0.811182066808578,0.8212663535778941,0.19882023229239204,0.21172353455818022,0.4015748031496063,684,901,242,459,1.4249,0.2821,(c) Quantum and Graph Ablation,URL-QG
SMS_QuantumText_Agent,1167,0.6298200514138818,0.22380952380952382,0.47,0.6628748707342296,0.3032258064516129,0.5822595656670114,0.2369757116172291,0.23508418945871848,0.33712512926577043,0.53,94,641,326,106,2.5595,0.0954,(c) Quantum and Graph Ablation,SMS-QT
EMAIL_QuantumText_Agent,479,0.6012526096033403,0.3507853403141361,0.5,0.6405797101449275,0.4123076923076923,0.6061648280337444,0.38933492387798374,0.23831265121552575,0.35942028985507246,0.5,67,221,124,67,4.1702,0.323,(c) Quantum and Graph Ablation,E-QT
QR_Handcrafted_Quantum,4000,0.547,0.5486039296794208,0.5305,0.5635,0.5394001016776817,0.57380375,0.5567308021428743,0.24926659436729165,0.4365,0.4695,1061,1127,873,939,0.2401,0.0835,(c) Quantum and Graph Ablation,QR-HQ
